1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
ieeexplore.ieee.org,180.43.32.103,-,22146,[01/Dec/2017:00:00:36,-0500],GET /ielx4/6092/16313/00759717.pdf?tp=&arnumber=759717&isnumber=16313 HTTP/1.1,206,16384,-,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,FAcONgsm7r4pWpx2F0nr8GOSxxEeo2a1PD5*uIMVcDjNq0X1lciQIcAcqwx3Dx3D-18x2dKx2FYSfuoXi1Ya4tn0JGiq6Ax3Dx3DoAEQSrx2BsHUs3dqgdLqXnagx3Dx3D-ICiWWFk1V0sztTx2FaouVejAx3Dx3D-HkZjWsU0yPIC0RD8x2BnFD6Ax3Dx3D,-,-,-,-,-,WbezFZ53d2E-aXEMRv0,501,-,-,-,-,-,-,-,071614c00615515f58772110e8df1f3f
ieeexplore.ieee.org,69.36.182.108,-,-,[01/Dec/2017:00:00:35,-0500],GET /rest/document/7011769/similar HTTP/1.1,200,4059,http://ieeexplore.ieee.org/document/7011769/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",-,-,-,-,-,-,NtGdHTYglPj-aeGD3gA,210210,-,-,-,-,-,-,-,0db9764cf14e41bfc0c5bbb0c3498dfd
ieeexplore.ieee.org,117.232.96.252,-,17572,[01/Dec/2017:00:00:36,-0500],GET /search/searchresult.jsp?action=search&newsearch=true&searchField=Search_All&matchBoolean=true&queryText=((UHF)%20AND%20satellite)&openAccess=true HTTP/1.1,200,35779,http://ieeexplore.ieee.org/search/advsearch.jsp,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",ndiQHs9x2FmWqax2BVs7hi7c2UoSLnQlfYUI*binx2FXkcxx2bU7sRnniFH78wx3Dx3D-18x2dBVO8CodFo9XXs0XqhOfBNgx3Dx3DiyxxMT7Xx2Fl1iKdYyNx2BBKJygx3Dx3D-74WfbdZD876j9q2bPIopZAx3Dx3D-hSx2Fy2PwxxNx2B4GkiZY7zyx2B7gx3Dx3D,-,-,-,-,-,Otp0wQzXowN-aWlRupK,109901,-,-,-,-,-,-,-,7eff611b06a4c88811815a8462ea88d6
ieeexplore.ieee.org,203.110.242.7,-,12769,[01/Dec/2017:00:00:36,-0500],GET /stamp/stamp.jsp?arnumber=7513437 HTTP/1.1,200,4080,http://ieeexplore.ieee.org/document/7513437/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",4PsqssNUSx2BJL6pcnHuD8k4KFyxx03mAU5*M3ruBkaeIElQAx2FOHx2BXDOpwx3Dx3D-18x2dJkoSx2BIo36ZB6ZPQtUZbfUAx3Dx3Dfsc85JnFbE09nAb3t32tCQx3Dx3D-gdpPDF74rjhVhbSezWo23Ax3Dx3D-hAF6CbSbyWBiTg9Gw04M9Ax3Dx3D,-,254,12769,0,12769,xeuy36nuC5V-amQPCE5,149216,-,-,-,-,-,-,NA,ccca94177327d60f41eab3bacd14154a
ieeexplore.ieee.org,205.151.77.43,-,1521637,[01/Dec/2017:00:00:36,-0500],GET /mediastore/IEEE/content/media/7565240/7571290/7571504/7571504-fig-8-small.gif HTTP/1.1,200,17911,http://ieeexplore.ieee.org/document/7571504/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,ntK7GetKLMmVwmf38ctlN6ZwQQ4U5TnW*LoQKEgfry1KNx2BkPSHx2FqXDAx3Dx3D-18x2d1qALx2BZIFiLDsoix2BefrHXeAx3Dx3DHs9JQyn9rD8ntRqMxxgPaAgx3Dx3D-74WfbdZD876j9q2bPIopZAx3Dx3D-hSx2Fy2PwxxNx2B4GkiZY7zyx2B7gx3Dx3D,-,-,-,-,-,8SdbP0YS3Gi-aj3DePb,69142,-,-,-,-,-,-,-,c12c6f2076cabad2adf1c0dcee905218
ieeexplore.ieee.org,205.151.77.43,-,1521637,[01/Dec/2017:00:00:35,-0500],GET /rest/document/7571504/similar HTTP/1.1,200,4266,http://ieeexplore.ieee.org/document/7571504/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,ntK7GetKLMmVwmf38ctlN6ZwQQ4U5TnW*LoQKEgfry1KNx2BkPSHx2FqXDAx3Dx3D-18x2d1qALx2BZIFiLDsoix2BefrHXeAx3Dx3DHs9JQyn9rD8ntRqMxxgPaAgx3Dx3D-74WfbdZD876j9q2bPIopZAx3Dx3D-hSx2Fy2PwxxNx2B4GkiZY7zyx2B7gx3Dx3D,-,-,-,-,-,8SdbP0YS3Gi-aj3DePb,295162,-,-,-,-,-,-,-,c12c6f2076cabad2adf1c0dcee905218
ieeexplore.ieee.org,192.222.233.100,-,-,[01/Dec/2017:00:00:36,-0500],GET /rest/document/7801975/similar HTTP/1.1,200,3897,http://ieeexplore.ieee.org/abstract/document/7801975/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",QR6lFEUkqwVF9EJEx2BTf9rx2B703hS4umUE*6w6fW2Q5NbZmsuPrfK5kYAx3Dx3D-18x2d5zXDAAFAdl3soix2BefrHXeAx3Dx3DlTrgWx2FVYMY5ymcC13byitQx3Dx3D-LIucCApDmwa5b0S9Q1cx2Fzwx3Dx3D-GCFTK2DYlK2kipq43gtAx2FAx3Dx3D,-,-,-,-,-,cJ3oNadEh5c-aNIZQKH,282977,-,-,-,-,-,-,-,c9fb485b736eed73e38b7566cc8519ee
ieeexplore.ieee.org,107.161.86.87,-,-,[01/Dec/2017:00:00:36,-0500],GET / HTTP/1.1,301,250,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0),-,-,-,-,-,-,-,184,-,-,-,-,-,-,-,-
ieeexplore.ieee.org,168.235.200.76,-,-,[01/Dec/2017:00:00:36,-0500],GET /rest/document/4735846/similar HTTP/1.1,200,4191,http://ieeexplore.ieee.org/document/4735846/keywords,"Mozilla/5.0 (Linux; U; Android 4.1.2; en-US; GT-S7392 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/10.1.0.527 U3/0.8.0 Mobile Safari/534.30",-,-,-,-,-,-,-,120668,-,-,-,-,-,-,-,-
ieeexplore.ieee.org,2001:250:4402:1112:c113:2f24:a2dc:272c,-,12626,[01/Dec/2017:00:00:36,-0500],POST /rest/search/typeahead HTTP/1.1,200,0,http://ieeexplore.ieee.org/search/searchresult.jsp?newsearch=true&queryText=SCUC,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,V48i6OpdFNx2FX31x2FHAJ7WEANZXHlby0Mp*91Oexxdx2F6PhoSjC34rnoc6bZae3DUyGhGx2BNkjVIgf2AR23x2FTxx5sqmWAx3Dx3D-18x2d5G3kfZqXdFkVa0lgrsEC0Qx3Dx3DroTPRE52kLtd1gPBK4vjagx3Dx3D-seCuihlon4Yn6ravae9KzQx3Dx3D-x2BoJmAJK1Z3DbmTWzFvGVAAx3Dx3D,-,-,-,-,-,EoFgAvW8wgm-amgz9mE,191985,-,-,-,-,-,-,-,f5758bb35c95d377b2c919827612de3f
